ER30001,ER30002,CP_FLAG,CDS97KID,CDS02KID,CDS07KID,TA05KID,TA05_RESP,TA05_PSID,TA07KID,TA07_RESP,TA07_PSID,TA09KID,TA09_RESP,TA09_PSID,TA11KID,TA11_RESP,TA11_PSID,PCGID_97,PCGPN_97,PCG97_REL,OCGID_97,OCGPN_97,OCG97_REL,PCGID_02,PCGPN_02,PCG02_REL,OCGID_02,OCGPN_02,OCG02_REL,PCGID_07,PCGPN_07,PCG07_REL,OCGID_07,OCGPN_07,OCG07_REL
6436,46,1,1,1,,,,,,,,,,,1,3,8073,6436,31,1,,,,6436,31,1,6436,170,,,,,,,
6436,47,1,1,1,,,,,,,,,,,,,,6436,33,1,,,,6436,33,1,6436,192,2,,,,,,
6436,48,1,1,1,,,,,,,,,,,,,,6436,31,1,,,,6436,31,1,6436,170,,,,,,,
6436,49,1,1,1,1,,,,,,,,,,,,,6436,36,1,,,,6436,36,1,,,,6436,36,1,6436,920,
6438,32,1,1,1,1,,,,,,,1,3,5963,1,1,2361,6438,30,1,6438,2,3,6438,30,1,,,,6438,30,1,,,
6444,34,1,1,1,,1,3,7270,,,,,,,,,,6444,171,1,6444,3,2,6444,171,1,6444,3,2,,,,,,
6444,35,1,1,1,,1,3,7270,,,,,,,,,,6444,171,1,6444,3,2,6444,171,1,6444,3,2,,,,,,
6472,30,1,1,,,,,,,,,1,3,8482,1,1,8884,6472,3,1,,,,,,,,,,,,,,,
6475,37,1,1,1,,1,3,4995,1,1,5649,1,1,4836,1,1,3915,6475,5,,6475,175,,6475,195,,,,,,,,,,
6475,38,1,1,1,,1,3,7086,1,3,7607,1,1,6953,1,1,4370,6475,32,1,,,,6475,32,1,,,,,,,,,
6475,40,1,1,,,,,,,,,,,,,,,6475,5,,6475,175,,,,,,,,,,,,,
6475,41,1,1,1,1,,,,,,,,,,1,3,8014,6475,30,1,,,,6475,30,1,,,,6475,30,1,,,
6475,42,1,1,1,1,,,,,,,,,,,,,6475,170,1,,,,6475,170,1,,,,6475,170,1,,,
6475,43,1,1,,,,,,,,,,,,,,,6475,32,1,,,,,,,,,,,,,,,
6476,35,1,1,1,,1,3,2767,1,3,4042,1,3,3136,1,1,5154,6476,174,1,6476,6,2,6476,174,1,6476,6,2,,,,,,
6478,31,1,1,1,,,,,1,3,4633,1,3,3707,1,3,3052,6478,5,1,6478,183,2,6478,5,1,6478,183,2,,,,,,
6478,45,1,1,1,,1,3,5908,1,3,3881,1,1,5034,,,,6478,181,1,6478,2,2,6478,181,1,6478,2,2,,,,,,
6478,48,1,1,1,,,,,,,,1,3,3618,1,3,3216,6478,179,1,6478,6,2,6478,179,1,6478,6,2,,,,,,
6478,52,1,1,1,1,,,,,,,,,,,,,6478,30,1,,,,6478,30,1,6478,197,2,6478,30,1,,,
6484,44,1,1,1,,1,3,1445,1,3,3331,1,2,8094,1,1,4880,6484,5,1,6484,175,2,6484,5,1,6484,175,2,,,,,,
6485,36,1,1,1,,1,3,5026,1,3,4675,1,3,2979,1,3,5801,6485,172,1,6485,4,2,6485,172,1,6485,4,2,,,,,,
6485,39,1,1,1,1,,,,,,,1,3,2234,1,3,5006,6485,30,1,,,,6485,30,1,,,,6485,30,1,6485,189,
6485,41,1,1,1,,,,,,,,,,,,,,6485,177,1,,,,6485,177,1,,,,,,,,,
6485,42,1,1,1,1,,,,,,,,,,,,,6485,5,1,,,,6485,5,1,,,,6485,5,1,,,
6485,178,1,1,1,,,,,,,,,,,,,,6485,177,1,,,,6485,177,1,,,,,,,,,
6485,181,1,1,1,1,,,,,,,,,,,,,6485,180,1,6485,32,2,6485,180,1,,,,6485,180,1,,,
6485,183,1,1,,,,,,,,,,,,,,,6485,182,1,,,,,,,,,,,,,,,
6485,184,1,1,,,,,,,,,,,,,,,6485,182,1,,,,,,,,,,,,,,,
6494,35,1,1,1,1,,,,,,,,,,1,1,8446,6494,185,1,6494,3,2,6494,185,1,6494,3,2,6494,185,1,,,
6494,36,1,1,1,1,,,,,,,,,,,,,6494,185,1,6494,3,2,6494,185,1,6494,3,2,6494,185,1,,,
6498,33,1,1,1,,,,,1,3,4641,1,3,3381,1,3,3911,6498,187,1,6498,6,2,6498,6,2,6498,187,1,,,,,,
6498,192,1,1,,,1,3,6709,1,3,6721,1,3,2138,1,3,7763,6498,3,1,,,,,,,,,,,,,,,
6498,193,1,1,,,,,,1,3,6721,1,3,2138,1,3,7763,6498,3,1,,,,,,,,,,,,,,,
6499,34,1,1,1,,1,3,615,1,3,4381,,,,,,,6499,5,1,,,,6499,170,2,,,,,,,,,
6499,39,1,1,1,,,,,,,,,,,,,,6499,185,1,6499,30,2,6499,185,1,6499,30,2,,,,,,
6499,180,1,1,,,,,,,,,,,,,,,6499,30,2,,,,,,,,,,,,,,,
6516,33,1,1,1,1,,,,,,,,,,,,,6516,176,1,6516,2,2,6516,176,1,,,,6516,176,1,,,
